TT,07,27,21,15,51,31,820731
o,25203,7206936,7206948
o,25204,7213600,7213612
o,25205,7220262,7220274
o,25206,7226924,7226936
EC, 409,10617,   0,11027
ER,10750, 267,   8
o,25207,7233588,7233600
o,25208,7240250,7240262
o,25209,7246910,7246922
o,25210,7253570,7253582
o,25211,7260232,7260244
o,25212,7266828,7266840
o,25213,7273490,7273502
o,25214,7280154,7280166
o,25215,7286814,7286826
o,25216,7293476,7293488
o,25217,7300138,7300150
o,25218,7306800,7306812
o,25219,7313460,7313472
o,25220,7320122,7320134
o,25221,7326784,7326796
o,25222,7333446,7333458
o,25223,7340106,7340118
o,25224,7346770,7346782
o,25225,7353358,7353370
o,25226,7360020,7360032
o,25227,7366682,7366694
o,25228,7373344,7373356
o,25229,7380006,7380018
o,25230,7386668,7386680
o,25231,7393328,7393340
o,25232,7399990,7400002
o,25233,7406652,7406664
o,25234,7413316,7413328
o,25235,7419976,7419988
o,25236,7426572,7426584
o,25237,7433232,7433244
o,25238,7439894,7439906
o,25239,7446556,7446568
o,25240,7453216,7453228
o,25241,7459880,7459892
o,25242,7466542,7466554
o,25243,7473204,7473216
o,25244,7479868,7479880
o,25245,7487202,7487214
o,25246,7493864,7493876
o,25247,7500526,7500538
o,25248,7506956,7506968
o,25249,7513618,7513630
o,25250,7520280,7520292
o,25251,7526942,7526954
o,25252,7533604,7533616
o,25253,7540266,7540278
o,25254,7546930,7546942
o,25255,7553590,7553602
o,25256,7560254,7560266
o,25257,7566916,7566928
o,25258,7573578,7573590
o,25259,7580242,7580254
o,25260,7586904,7586916
o,25261,7593566,7593578
o,25262,7600140,7600152
o,25263,7606802,7606814
o,25264,7613466,7613478
o,25265,7620800,7620812
o,25266,7627462,7627474
o,25267,7634124,7634136
o,25268,7640786,7640798
o,25269,7647448,7647460
o,25270,7654110,7654122
o,25271,7660772,7660784
o,25272,7667434,7667446
o,25273,7673868,7673880
o,25274,7680532,7680544
o,25275,7687192,7687204
o,25276,7693854,7693866
o,25277,7700514,7700526
o,25278,7707176,7707188
o,25279,7713838,7713850
o,25280,7720500,7720512
o,25281,7727162,7727174
o,25282,7733824,7733836
o,25283,7740486,7740498
o,25284,7747150,7747162
o,25285,7753812,7753824
o,25286,7760396,7760408
o,25287,7767058,7767070
o,25288,7773720,7773732
o,25289,7780382,7780394
o,25290,7787020,7787032
o,25291,7793682,7793694
o,25292,7800344,7800356
o,25293,7807006,7807018
o,25294,7813670,7813682
o,25295,7820330,7820342
o,25296,7826992,7827004
o,25297,7833654,7833666
o,25298,7840314,7840326
o,25299,7846976,7846988
o,25300,7853638,7853650
o,25301,7860300,7860312
o,25302,7866962,7866974
o,25303,7873626,7873638
o,25304,7880208,7880220
EC, 451,11576,   0,12027
ER,11722, 296,   8
o,25305,7886872,7886884
o,25306,7893534,7893546
o,25307,7900196,7900208
o,25308,7906858,7906870
o,25309,7913520,7913532
o,25310,7920182,7920194
