o,20421,5521036,5521048
o,20422,5527698,5527710
o,20423,5534220,5534232
o,20424,5540882,5540894
o,20425,5547544,5547556
o,20426,5554204,5554216
o,20427,5560866,5560878
o,20428,5567528,5567540
o,20429,5574188,5574200
o,20430,5580850,5580862
o,20431,5587512,5587524
o,20432,5594176,5594188
o,20433,5600838,5600850
o,20434,5607500,5607512
o,20435,5614164,5614176
o,20436,5620822,5620834
o,20437,5627482,5627494
o,20438,5634144,5634156
o,20439,5640806,5640818
o,20440,5647468,5647480
o,20441,5654130,5654142
o,20442,5660792,5660804
o,20443,5667454,5667466
o,20444,5674116,5674128
o,20445,5680780,5680792
o,20446,5687440,5687452
o,20447,5694102,5694114
o,20448,5700764,5700776
o,20449,5707426,5707438
o,20450,5714088,5714100
o,20451,5720750,5720762
o,20452,5727414,5727426
o,20453,5734076,5734088
o,20454,5740738,5740750
o,20455,5747402,5747414
o,20456,5754062,5754074
o,20457,5760724,5760736
o,20458,5767180,5767192
o,20459,5773842,5773854
o,20460,5780504,5780516
o,20461,5787166,5787178
o,20462,5793828,5793840
o,20463,5800490,5800502
o,20464,5807150,5807162
o,20465,5813814,5813826
o,20466,5820474,5820486
o,20467,5827136,5827148
o,20468,5833798,5833810
o,20469,5840460,5840472
o,20470,5847122,5847134
o,20471,5853784,5853796
o,20472,5860448,5860460
o,20473,5867110,5867122
o,20474,5873676,5873688
o,20475,5880340,5880352
o,20476,5887000,5887012
o,20477,5893662,5893674
o,20478,5900324,5900336
,20479,5906988,5907000
o,20480,5913650,5913662
EC, 312,8713,   0,9025
ER,8807, 210,   8
o,20481,5920314,5920326
o,20482,5926976,5926988
o,20483,5933636,5933648
o,20484,5940298,5940310
o,20485,5946960,5946972
o,20486,5953620,5953632
o,20487,5960282,5960294
o,20488,5966944,5966956
o,20489,5973606,5973618
o,20490,5980172,5980184
o,20491,5986834,5986846
o,20492,5993654,5993666
o,20493,6000316,6000328
o,20494,6006978,6006990
o,20495,6013642,6013654
o,20496,6020302,6020314
o,20497,6026964,6026976
o,20498,6033626,6033638
o,20499,6040288,6040300
o,20500,6046950,6046962
o,20501,6053612,6053624
o,20502,6060274,6060286
o,20503,6066936,6066948
o,20504,6073598,6073610
o,20505,6080014,6080026
o,20506,6086672,6086684
o,20507,6093334,6093346
o,20508,6099996,6100008
o,20509,6106658,6106670
o,20510,6113320,6113332
o,20511,6119982,6119994
o,20512,6126646,6126658
o,20513,6133308,6133320
o,20514,6139970,6139982
o,20515,6146632,6146644
o,20516,6153290,6153302
o,20517,6159952,6159964
a,20518,6166614,6166626
o,20519,6173276,6173288
o,20520,6179938,6179950
o,20521,6186600,6186612
o,20522,6193262,6193274
o,20523,6199924,6199936
o,20524,6206586,6206598
o,20525,6213142,6213154
o,20526,6219802,6219814
o,20527,6226464,6226476
o,20528,6233126,6233138
o,20529,6239788,6239800
o,20530,6246450,6246462
o,20531,6253112,6253124
o,20532,6259774,6259786
o,20533,6266436,6266448
o,20534,6273098,6273110
o,20535,6279762,6279774
o,20536,6286420,6286432
o,20537,6293082,6293094
o,20538,6299660,6299672
o,20539,6306322,6306334
o,20540,6312984,6312996
o,20541,6319646,6319658
o,20542,6326308,6326320
o,20543,6332968,6332980
o,20544,6339630,6339642
o,20545,6346292,6346304
o,20546,6352952,6352964
o,20547,6359614,6359626
o,20548,6366276,6366288
o,20549,6372938,6372950
o,20550,6379600,6379612
o,20551,6386262,6386274
o,20552,6393082,6393094
o,20553,6399500,6399512
o,20554,6406162,6406174
o,20555,6412826,6412838
o,20556,6419486,6419498
o,20557,6426146,6426158
o,20558,6432808,6432820
o,20559,6439470,6439482
o,20560,6446132,6446144
o,20561,6452794,6452806
o,20562,6459456,6459468
o,20563,6466118,6466130
o,20564,6472780,6472792
o,20565,6479444,6479456
o,20566,6486104,6486116
o,20567,6492766,6492778
o,20568,6499428,6499440
o,20569,6505996,6506008
o,20570,6512658,6512670
o,20571,6519320,6519332
o,20572,6526496,6526508
o,20573,6533158,6533170
o,20574,6539820,6539832
o,20575,6546484,6546496
o,20576,6553144,6553156
o,20577,6559808,6559820
o,20578,6566468,6566480
EC, 350,9676,   0,10026
ER,9779, 238,   8
o,20579,6573130,6573142
o,20580,6579792,6579804
o,20581,6586454,6586466
o,20582,6593116,6593128
o,20583,6599778,6599790
o,20584,6606348,6606360
o,20585,6613012,6613024
o,20586,6619672,6619684
o,20587,6626334,6626346
o,20588,6632996,6633008
o,20589,6639658,6639670
o,20590,6646320,6646332
o,20591,6652982,6652994
o,20592,6659646,6659658
o,20593,6666308,6666320
o,20594,6672970,6672982
o,20595,6679634,6679646
o,20596,6686294,6686306
o,20597,6692956,6692968
o,20598,6699618,6699630
o,20599,6706280,6706292
o,20600,6712942,6712954
o,20601,6719604,6719616
o,20602,6726266,6726278
o,20603,6732928,6732940
o,20604,6739590,6739602
o,20605,6746254,6746266
o,20606,6752914,6752926
o,20607,6759576,6759588
o,20608,6766238,6766250
o,20609,6772900,6772912
o,20610,6779562,6779574
o,20611,6786224,6786236
o,20612,6793046,6793058
o,20613,6799372,6799384
o,20614,6806034,6806046
o,20615,6812698,6812710
o,20616,6819358,6819370
o,20617,6826020,6826032
o,20618,6832682,6832694
o,20619,6839344,6839356
o,20620,6846006,6846018
o,20621,6852666,6852678
o,20622,6859328,6859340
o,20623,6865990,6866002
o,20624,6872652,6872664
o,20625,6879316,6879328
o,20626,6885976,6885988
o,20627,6892638,6892650
o,20628,6899300,6899312
o,20629,6905962,6905974
o,20630,6912624,6912636
o,20631,6919286,6919298
o,20632,6925842,6925854
o,20633,6932504,6932516
o,20634,6939166,6939178
o,20635,6945830,6945842
o,20636,6952490,6952502
o,20637,6959152,6959164
o,20638,6965814,6965826
o,20639,6972474,6972486
o,20640,6979136,6979148
o,20641,6985798,6985810
o,20642,6992460,6992472
o,20643,6999122,6999134
o,20644,7005784,7005796
o,20645,7012448,7012460
o,20646,7019108,7019120
o,20647,7025770,7025782
o,20648,7032432,7032444
o,20649,7038988,7039000
o,20650,7045650,7045662
o,20651,7052312,7052324
o,20652,7058974,7058986
o,20653,7065636,7065648
o,20654,7072298,7072310
o,20655,7078960,7078972
o,20656,7085618,7085630
o,20657,7092280,7092292
o,20658,7098942,7098954
o,20659,7105602,7105614
o,20660,7112264,7112276
o,20661,7118926,7118938
o,20662,7125586,7125598
o,20663,7132248,7132260
o,20664,7138910,7138922
o,20665,7145574,7145586
o,20666,7152234,7152246
o,20667,7158896,7158908
o,20668,7165558,7165570
