o,36059,8835780,8835794
o,36060,8846026,8846040
o,36061,8856272,8856286
o,36062,8866518,8866532
o,36063,8876768,8876782
o,36064,8886796,8886810
o,36065,8897042,8897056
o,36066,8907288,8907302
o,36067,8917534,8917548
o,36068,8927780,8927794
o,36069,8938028,8938040
o,36070,8948272,8948286
o,36071,8958518,8958532
o,36072,8968764,8968778
o,36073,8979010,8979024
o,36074,8989196,8989210
o,36075,8999440,8999454
o,36076,9009690,9009704
o,36077,9019934,9019948
o,36078,9030178,9030192
o,36079,9040426,9040440
o,36080,9050672,9050686
o,36081,9060916,9060930
o,36082,9071166,9071178
o,36083,9081410,9081424
o,36084,9091656,9091670
o,36085,9101836,9101850
o,36086,9112082,9112096
o,36087,9122328,9122342
o,36088,9132574,9132588
o,36089,9142826,9142840
o,36090,9153070,9153084
o,36091,9163316,9163330
o,36092,9173562,9173576
o,36093,9183808,9183822
o,36094,9194056,9194068
EC, 328,13700,   0,14028
ER,13771, 249,   8
,36095,9204240,9204252
o,36096,9214484,9214498
o,36097,9224730,9224744
o,36098,9234974,9234988
o,36099,9245222,9245236
o,36100,9255468,9255482
o,36101,9265712,9265726
o,36102,9275960,9275974
o,36103,9286206,9286220
o,36104,9296452,9296466
a,36105,9306698,9306712
o,36106,9316944,9316958
o,36107,9327190,9327204
o,36108,9337440,9337452
o,36109,9347684,9347698
o,36110,9357930,9357944
o,36111,9368176,9368190
o,36112,9378422,9378436
o,36113,9388668,9388682
o,36114,9398914,9398928
o,36115,9409166,9409180
o,36116,9419276,9419290
o,36117,9429522,9429536
o,36118,9439766,9439780
o,36119,9450012,9450026
o,36120,9460256,9460270
o,36121,9470506,9470518
o,36122,9480750,9480764
o,36123,9490996,9491010
o,36124,9501242,9501256
o,36125,9511488,9511502
o,36126,9521734,9521748
o,36127,9531980,9531994
o,36128,9542232,9542246
o,36129,9552478,9552492
o,36130,9562724,9562738
o,36131,9572970,9572984
o,36132,9583216,9583230
o,36133,9593356,9593370
o,36134,9603606,9603618
o,36135,9613848,9613862
o,36136,9624094,9624108
o,36137,9634340,9634354
o,36138,9644586,9644600
o,36139,9654834,9654848
o,36140,9665080,9665094
o,36141,9675332,9675346
o,36142,9685578,9685592
o,36143,9695824,9695838
o,36144,9706070,9706084
o,36145,9716316,9716330
o,36146,9726562,9726576
o,36147,9736726,9736738
o,36148,9746970,9746984
o,36149,9757214,9757228
o,36150,9767460,9767474
o,36151,9777708,9777722
o,36152,9787954,9787968
o,36153,9798200,9798214
o,36154,9808452,9808466
o,36155,9818698,9818712
o,36156,9828876,9828890
o,36157,9839122,9839136
o,36158,9849370,9849382
EC, 353,14675,   0,15029
ER,14750, 270,   8
o,36159,9859616,9859630
o,36160,9869862,9869874
o,36161,9880106,9880120
o,36162,9890350,9890364
o,36163,9900596,9900610
o,36164,9910842,9910856
o,36165,9921086,9921100
o,36166,9931332,9931346
o,36167,9941584,9941598
o,36168,9951830,9951844
o,36169,9962076,9962090
o,36170,9972322,9972336
o,36171,9982568,9982582
o,36172,9992814,9992828
o,36173,10003064,10003076
o,36174,10013308,10013322
o,36175,10023554,10023568
o,36176,10033800,10033814
o,36177,10044046,10044060
o,36178,10054292,10054306
o,36179,10064540,10064554
o,36180,10074790,10074804
o,36181,10085036,10085050
o,36182,10095282,10095296
o,36183,10105528,10105542
o,36184,10115774,10115788
o,36185,10125836,10125850
o,36186,10136086,10136098
o,36187,10146330,10146344
o,36188,10156576,10156590
o,36189,10166822,10166836
o,36190,10177068,10177082
o,36191,10187314,10187328
o,36192,10197560,10197574
o,36193,10207812,10207826
o,36194,10218058,10218072
o,36195,10228304,10228318
o,36196,10238550,10238564
o,36197,10248720,10248734
o,36198,10258966,10258980
o,36199,10269218,10269230
o,36200,10279462,10279476
o,36201,10289708,10289722
o,36202,10299954,10299968
o,36203,10310200,10310214
o,36204,10320446,10320460
o,36205,10330636,10330650
o,36206,10340886,10340900
o,36207,10351132,10351146
o,36208,10361378,10361392
o,36209,10371624,10371638
o,36210,10381870,10381884
o,36211,10392114,10392128
o,36212,10402364,10402376
o,36213,10412608,10412622
o,36214,10422854,10422868
o,36215,10433100,10433114
o,36216,10443346,10443360
o,36217,10453592,10453606
o,36218,10463770,10463784
o,36219,10474224,10474238
o,36220,10484236,10484250
o,36221,10494484,10494498
o,36222,10504732,10504744
EC, 380,15649,   0,16029
ER,15730, 291,   8
o,36223,10514976,10514990
o,36224,10525222,10525236
o,36225,10535470,10535482
o,36226,10545714,10545728
o,36227,10555960,10555974
o,36228,10566206,10566220
o,36229,10576452,10576466
o,36230,10586698,10586712
o,36231,10596944,10596958
o,36232,10607196,10607210
o,36233,10617442,10617456
o,36234,10627688,10627702
o,36235,10637934,10637948
o,36236,10648180,10648194
o,36237,10658426,10658440
o,36238,10668676,10668688
o,36239,10678796,10678810
o,36240,10689042,10689056
o,36241,10699288,10699302
o,36242,10709534,10709548
o,36243,10719780,10719794
o,36244,10730026,10730040
o,36245,10740276,10740290
o,36246,10750522,10750536
o,36247,10760768,10760782
o,36248,10770958,10770972
o,36249,10781202,10781216
o,36250,10791448,10791462
o,36251,10801698,10801710
o,36252,10811942,10811956
o,36253,10822186,10822200
o,36254,10832432,10832446
o,36255,10842678,10842692
o,36256,10852924,10852938
o,36257,10863170,10863184
o,36258,10873422,10873436
o,36259,10883606,10883620
o,36260,10893852,10893866
o,36261,10904098,10904112
o,36262,10914344,10914358
o,36263,10924590,10924604
o,36264,10934840,10934852
o,36265,10945084,10945098
o,36266,10955330,10955344
o,36267,10965576,10965590
o,36268,10975822,10975836
o,36269,10986068,10986082
o,36270,10996314,10996328
o,36271,11006566,11006580
o,36272,11016812,11016826
o,36273,11027058,11027072
o,36274,11037196,11037210
o,36275,11047442,11047456
o,36276,11057688,11057702
o,36277,11067938,11067950
o,36278,11078182,11078196
o,36279,11088430,11088444
o,36280,11098676,11098690
o,36281,11108922,11108936
o,36282,11119168,11119182
o,36283,11129414,11129428
o,36284,11139666,11139680
o,36285,11149914,11149928
o,36286,11160162,11160174
EC, 406,16623,   0,17030
ER,16710, 312,   8
o,36287,11170316,11170330
o,36288,11180562,11180576
o,36289,11190808,11190822
o,36290,11201058,11201070
o,36291,11211302,11211316
o,36292,11221548,11221562
o,36293,11231794,11231808
o,36294,11241996,11242010
o,36295,11252242,11252256
o,36296,11262488,11262502
o,36297,11272740,11272754
o,36298,11282986,11283000
o,36299,11293234,11293248
o,36300,11303480,11303494
o,36301,11313676,11313690
o,36302,11323920,11323934
o,36303,11334170,11334182
o,36304,11344412,11344426
o,36305,11354658,11354672
o,36306,11364904,11364918
o,36307,11375150,11375164
o,36308,11385396,11385410
o,36309,11395642,11395656
o,36310,11405842,11405856
o,36311,11416088,11416102
o,36312,11426334,11426348
o,36313,11436580,11436594
o,36314,11446826,11446840
o,36315,11457072,11457086
o,36316,11467322,11467334
o,36317,11477566,11477580
o,36318,11487812,11487826
o,36319,11498060,11498074
o,36320,11508306,11508320
o,36321,11518552,11518566
o,36322,11528798,11528812
o,36323,11539050,11539064
