o,33595,11673224,11673238
o,33596,11683340,11683354
o,33597,11693586,11693600
o,33598,11703832,11703846
o,33599,11714078,11714092
o,33600,11724300,11724314
o,33601,11734550,11734564
o,33602,11744796,11744810
o,33603,11755042,11755056
o,33604,11765288,11765302
o,33605,11775534,11775548
o,33606,11785932,11785946
o,33607,11795980,11795994
o,33608,11806232,11806246
EC, 415,17615,   0,18030
ER,17676, 345,   8
o,33609,11816482,11816496
o,33610,11826728,11826742
o,33611,11836974,11836988
o,33612,11847220,11847234
o,33613,11857466,11857480
o,33614,11867718,11867732
o,33615,11877964,11877978
o,33616,11888210,11888224
o,33617,11898456,11898470
o,33618,11908702,11908716
o,33619,11918948,11918962
o,33620,11929100,11929114
o,33621,11939350,11939364
o,33622,11949596,11949610
o,33623,11959820,11959834
o,33624,11970066,11970080
o,33625,11980312,11980326
o,33626,11990776,11990790
o,33627,12000784,12000798
o,33628,12011030,12011044
o,33629,12021276,12021290
o,33630,12031522,12031536
o,33631,12041770,12041784
o,33632,12052016,12052030
o,33633,12062262,12062276
o,33634,12072464,12072478
o,33635,12082710,12082724
o,33636,12092956,12092970
o,33637,12103202,12103216
o,33638,12113448,12113462
o,33639,12123694,12123708
o,33640,12133944,12133958
o,33641,12144190,12144204
o,33642,12154436,12154450
o,33643,12164682,12164696
o,33644,12174928,12174942
o,33645,12185174,12185188
o,33646,12195528,12195542
o,33647,12205582,12205596
o,33648,12215828,12215842
o,33649,12226074,12226088
o,33650,12236322,12236336
o,33651,12246540,12246554
o,33652,12256784,12256798
o,33653,12267034,12267048
o,33654,12277280,12277294
o,33655,12287500,12287514
o,33656,12297746,12297760
o,33657,12307990,12308004
o,33658,12318236,12318250
o,33659,12328482,12328496
o,33660,12338732,12338746
o,33661,12348978,12348992
o,33662,12359180,12359194
o,33663,12369426,12369440
o,33664,12379672,12379686
o,33665,12389918,12389932
o,33666,12400390,12400404
o,33667,12410380,12410394
o,33668,12420628,12420642
o,33669,12430874,12430888
o,33670,12441120,12441134
o,33671,12451366,12451380
o,33672,12461614,12461628
EC, 443,18588,   0,19031
ER,18653, 369,   8
o,33673,12471826,12471840
